runid 	bm25_stemmed	bm25_unstemmed	qld_stemmed	qld_unstemmed	qljm_stemmed	qljm_unstemmed	VSM_RM3_stemmed	VSM_RM3_unstemmed
num_q                 	50          	49            	50         	49           	50          	49            	50             	49
num_ret               	48870       	35252         	48870      	35252        	48870       	35252         	50000          	49000
num_rel               	2279        	2188          	2279       	2188         	2279        	2188          	2279           	2188
num_rel_ret           	1650        	868           	1848       	930          	1789        	873           	1879           	973
map                   	0.2385      	0.0841        	0.2967     	0.0988       	0.2423      	0.0796        	0.3006         	0.0966
gm_map                	0.1524      	0.0096        	0.1925     	0.0107       	0.1405      	0.0081        	0.1874         	0.0082
Rprec                 	0.2898      	0.1143        	0.3207     	0.1265       	0.2695      	0.0981        	0.3213         	0.1171
bpref                 	0.2479      	0.1025        	0.2818     	0.1199       	0.2376      	0.0932        	0.2919         	0.1172
recip_rank            	0.6297      	0.3279        	0.6886     	0.2575       	0.5088      	0.2165        	0.6347         	0.2776
iprec_at_recall_0.00  	0.6978      	0.3797        	0.7465     	0.3154       	0.5951      	0.2682        	0.6928         	0.3075
iprec_at_recall_0.10  	0.5528      	0.2456        	0.5990     	0.2421       	0.4803      	0.1951        	0.6184         	0.2418
iprec_at_recall_0.20  	0.4452      	0.1541        	0.5013     	0.1950       	0.4029      	0.1447        	0.5195         	0.1886
iprec_at_recall_0.30  	0.3498      	0.1043        	0.3985     	0.1322       	0.3351      	0.0995        	0.4466         	0.1359
iprec_at_recall_0.40  	0.2890      	0.0890        	0.3437     	0.1022       	0.2880      	0.0839        	0.3710         	0.0988
iprec_at_recall_0.50  	0.2328      	0.0795        	0.3056     	0.0950       	0.2412      	0.0747        	0.2988         	0.0823
iprec_at_recall_0.60  	0.1754      	0.0330        	0.2172     	0.0585       	0.1984      	0.0555        	0.2317         	0.0589
iprec_at_recall_0.70  	0.1147      	0.0209        	0.1704     	0.0433       	0.1640      	0.0443        	0.1761         	0.0390
iprec_at_recall_0.80  	0.0445      	0.0151        	0.1283     	0.0361       	0.1172      	0.0364        	0.1087         	0.0231
iprec_at_recall_0.90  	0.0151      	0.0119        	0.0879     	0.0271       	0.0767      	0.0288        	0.0468         	0.0079
iprec_at_recall_1.00  	0.0053      	0.0097        	0.0442     	0.0104       	0.0488      	0.0116        	0.0069         	0.0030
P_5                   	0.3920      	0.1837        	0.4840     	0.1510       	0.3600      	0.1429        	0.4720         	0.1796
P_10                  	0.4120      	0.1592        	0.4440     	0.1551       	0.3460      	0.1265        	0.4620         	0.1571
P_15                  	0.3827      	0.1483        	0.4027     	0.1497       	0.3253      	0.1184        	0.4187         	0.1551
P_20                  	0.3450      	0.1327        	0.3750     	0.1327       	0.2980      	0.1082        	0.3760         	0.1439
P_30                  	0.2953      	0.1082        	0.3247     	0.1129       	0.2567      	0.0959        	0.3360         	0.1204
P_100                 	0.1724      	0.0653        	0.1962     	0.0739       	0.1726      	0.0612        	0.1968         	0.0722
P_200                 	0.1133      	0.0472        	0.1317     	0.0535       	0.1234      	0.0439        	0.1302         	0.0516
P_500                 	0.0580      	0.0288        	0.0658     	0.0315       	0.0631      	0.0285        	0.0666         	0.0299
P_1000                	0.0330      	0.0177        	0.0370     	0.0190       	0.0358      	0.0178        	0.0376         	0.0199
